"day","T","...3"
1468,305.65,NA
1468.5,296.15,NA
1470,305.15,NA
1471,306.8500008,NA
1472,304.65,NA
1472.5,297.9499992,NA
1473,303.7500004,NA
1474,303.7500004,NA
1475.5,296.9499992,NA
1477,306.3500008,NA
1478,306.15,NA
1479,305.5500015,NA
1480,306.65,NA
1480.5,297.7500004,NA
1481,307.15,NA
1481.5,298.15,NA
1482,306.3500008,NA
1484,307.15,NA
1485,307.3500008,NA
1486,307.65,NA
1489,307.15,NA
1490.5,298.3500008,NA
1491.5,298.7500004,NA
1492,306.3500008,NA
1492.5,298.7500004,NA
1499.5,297.65,NA
1502.5,298.15,NA
1503.5,295.15,NA
1504.5,294.15,NA
1505.5,294.15,NA
1507.5,296.15,NA
1508,304.0499996,NA
1509.5,299.0499996,NA
1510.5,299.0499996,NA
1511.5,300.3500008,NA
1513.5,298.15,NA
1514.5,294.15,NA
1515.5,289.2500004,NA
1519.5,300.15,NA
1521.5,298.9499992,NA
1526.5,299.0499996,NA
1531.5,299.8500008,NA
1534.5,299.5499996,NA
1538.5,299.15,NA
1539.5,300.15,NA
1542.5,298.65,NA
1544.5,300.15,NA
1548.5,299.65,NA
1550,308.15,NA
1550.5,300.3500008,NA
1553,308.65,NA
1553.5,296.15,NA
1559.5,300.15,NA
1560.5,295.5499996,NA
1561.5,297.4499992,NA
1563.5,299.15,NA
1569.5,298.15,NA
1570.5,298.7500004,NA
1574,303.65,NA
1579.5,296.15,NA
1580.5,296.3500008,NA
1581.5,298.4499992,NA
1583.5,297.5499996,NA
1584,305.3500008,NA
1589,306.5500015,NA
1589.5,295.2500004,NA
1590.5,298.7500004,NA
1591.5,299.3500008,NA
1593.5,298.65,NA
1595.5,295.65,NA
1597.5,298.15,NA
1601.5,297.15,NA
1603.5,298.5499996,NA
1606,305.9499992,NA
1606.5,295.65,NA
1609,302.15,NA
1614,305.15,NA
1616,305.15,NA
1618,304.15,NA
1618.5,294.9499992,NA
1619,305.7499985,NA
1621,303.7500004,NA
1621.5,294.8500008,NA
1622.5,295.65,NA
1623.5,296.2500004,NA
1624.5,296.2500004,NA
1625.5,296.7500004,NA
1626,303.3500008,NA
1628.5,296.15,NA
1629.5,296.15,NA
1630.5,295.9499992,NA
1631.5,297.65,NA
1635,299.2500004,NA
1637.5,297.15,NA
1638,302.5499996,NA
1638.5,297.15,NA
1639,304.3500008,NA
1640.5,295.7500004,NA
1641.5,297.4499992,NA
1642.5,296.4499992,NA
1643,304.3500008,NA
1643.5,297.5499996,NA
1644,300.7500004,NA
1645,302.65,NA
1645.5,296.2500004,NA
1646.5,297.0499996,NA
1648,304.65,NA
1649,303.15,NA
1650.5,296.7500004,NA
1653,302.2500004,NA
1653.5,297.15,NA
1654,303.2500004,NA
1655,303.15,NA
1656.5,296.2500004,NA
1657,301.4499992,NA
1657.5,297.15,NA
1658.5,297.15,NA
1659,299.3500008,NA
1659.5,296.65,NA
1661.5,297.4499992,NA
1663,300.15,NA
1664.5,295.0499996,NA
1665.5,295.65,NA
1666.5,295.0499996,NA
1667,300.9499992,NA
1667.5,294.65,NA
1668,301.9499992,NA
1668.5,296.65,NA
1669.5,296.65,NA
1670.5,296.0499996,NA
1672.5,296.15,NA
1673,301.0499996,NA
1674,301.9499992,NA
1674.5,295.8500008,NA
1675.5,295.7500004,NA
