"day","time","latitude","longitude","T"
16598.5,2070-06-12,12.7225130890052,358.75,309.96655
16599,2070-06-13,12.7225130890052,358.75,300.1356
16599.5,2070-06-13,12.7225130890052,358.75,310.69528
16600,2070-06-14,12.7225130890052,358.75,302.6178
16600.5,2070-06-14,12.7225130890052,358.75,308.28464
16601,2070-06-15,12.7225130890052,358.75,301.96747
16601.5,2070-06-15,12.7225130890052,358.75,307.87222
16602,2070-06-16,12.7225130890052,358.75,302.02527
16602.5,2070-06-16,12.7225130890052,358.75,312.19073
16603,2070-06-17,12.7225130890052,358.75,300.76126
16603.5,2070-06-17,12.7225130890052,358.75,311.6252
16604,2070-06-18,12.7225130890052,358.75,300.5175
16604.5,2070-06-18,12.7225130890052,358.75,310.7663
16605,2070-06-19,12.7225130890052,358.75,299.83627
16605.5,2070-06-19,12.7225130890052,358.75,310.0102
16606,2070-06-20,12.7225130890052,358.75,298.80844
16606.5,2070-06-20,12.7225130890052,358.75,309.35092
16607,2070-06-21,12.7225130890052,358.75,298.1759
16607.5,2070-06-21,12.7225130890052,358.75,309.18488
16608,2070-06-22,12.7225130890052,358.75,298.78006
16608.5,2070-06-22,12.7225130890052,358.75,309.7651
16609,2070-06-23,12.7225130890052,358.75,298.46906
16609.5,2070-06-23,12.7225130890052,358.75,309.96567
16610,2070-06-24,12.7225130890052,358.75,298.53635
16610.5,2070-06-24,12.7225130890052,358.75,309.78387
16611,2070-06-25,12.7225130890052,358.75,298.7504
16611.5,2070-06-25,12.7225130890052,358.75,309.54272
16612,2070-06-26,12.7225130890052,358.75,299.5936
16612.5,2070-06-26,12.7225130890052,358.75,309.94455
16613,2070-06-27,12.7225130890052,358.75,301.25192
16613.5,2070-06-27,12.7225130890052,358.75,310.33823
16614,2070-06-28,12.7225130890052,358.75,302.60168
16614.5,2070-06-28,12.7225130890052,358.75,309.69064
16615,2070-06-29,12.7225130890052,358.75,299.48615
16615.5,2070-06-29,12.7225130890052,358.75,309.1339
16616,2070-06-30,12.7225130890052,358.75,298.16913
16616.5,2070-06-30,12.7225130890052,358.75,308.15668
16617,2070-07-01,12.7225130890052,358.75,297.9403
16617.5,2070-07-01,12.7225130890052,358.75,308.72025
16618,2070-07-02,12.7225130890052,358.75,298.03055
16618.5,2070-07-02,12.7225130890052,358.75,308.14645
16619,2070-07-03,12.7225130890052,358.75,297.28125
16619.5,2070-07-03,12.7225130890052,358.75,309.28568
16620,2070-07-04,12.7225130890052,358.75,297.4093
16620.5,2070-07-04,12.7225130890052,358.75,308.55905
16621,2070-07-05,12.7225130890052,358.75,297.51273
16621.5,2070-07-05,12.7225130890052,358.75,309.09277
16622,2070-07-06,12.7225130890052,358.75,297.8699
16622.5,2070-07-06,12.7225130890052,358.75,309.6027
