period,yr,month,days,total_days,model,emissions,Tmin,Tmax,Tave,T_K,Prec_mm,Tmin_rollMean,Tmin_rollSD,Tmax_rollMean,Tmax_rollSD
historical,1972,7,4155,4155,CGCM3.1 (T47),High (A2),23.7545421,32.0816284,27.91808525,301.0680853,,14.1374215,0.89785795,23.7932508,1.16344064
historical,1972,8,4185,4185,CGCM3.1 (T47),High (A2),24.5070047,33.9096642,29.20833445,302.3583345,,14.0629493,0.89904203,23.7230642,1.16152433
historical,1972,9,4215,4215,CGCM3.1 (T47),High (A2),19.0964776,29.127234,24.1118558,297.2618558,,14.3180421,1.16329014,23.786601,1.22728088
historical,1972,10,4245,4245,CGCM3.1 (T47),High (A2),12.3677431,20.1220108,16.24487695,289.394877,,14.399129,1.1864291,23.8073202,1.22529968
historical,1972,11,4275,4275,CGCM3.1 (T47),High (A2),5.75730599,13.8537268,9.805516395,282.9555164,,14.2495468,1.32212395,23.7117531,1.28731832
historical,1972,12,4305,4305,CGCM3.1 (T47),High (A2),2.63950112,11.244104,6.94180256,280.0918026,,14.0999117,1.40326024,23.5683945,1.35998749
historical,1973,1,4335,4335,CGCM3.1 (T47),High (A2),-0.7569854,7.427155541,3.335085071,276.4850851,,14.1575621,1.41032905,23.5329717,1.34697628
historical,1973,2,4365,4365,CGCM3.1 (T47),High (A2),-2.0936272,5.69253565,1.799454225,274.9494542,,14.0068482,1.39011051,23.4481063,1.38849305
historical,1973,3,4395,4395,CGCM3.1 (T47),High (A2),4.70348432,13.14258801,8.923036167,282.0730362,,13.9977098,1.47411623,23.5024363,1.46140172
historical,1973,4,4425,4425,CGCM3.1 (T47),High (A2),9.40513956,19.6360548,14.52059718,287.6705972,,14.1293071,1.51832918,23.7328079,1.37656093
historical,1973,5,4455,4455,CGCM3.1 (T47),High (A2),12.7472202,22.3634483,17.55533425,290.7053343,,14.3521104,1.49205397,23.8815193,1.41574457
historical,1973,6,4485,4485,CGCM3.1 (T47),High (A2),17.1495011,25.9057953,21.5276482,294.6776482,,14.1835686,1.55976171,23.4959225,1.0752887
historical,1973,7,4515,4515,CGCM3.1 (T47),High (A2),24.7604343,30.3482185,27.5543264,300.7043264,,18.6613226,0.98041099,27.2240983,0.3555612
historical,1973,8,4545,4545,CGCM3.1 (T47),High (A2),24.0299588,28.5113973,26.27067805,299.4206781,,18.6096879,0.90535505,27.1728499,0.35176396
historical,1973,9,4575,4575,CGCM3.1 (T47),High (A2),18.814984,25.4714943,22.14323915,295.2932392,,18.5933121,0.83947466,27.0328531,0.51269286
historical,1973,10,4605,4605,CGCM3.1 (T47),High (A2),13.8880723,19.8431288,16.86560055,290.0156006,,18.444941,0.90263717,26.9282703,0.57309278
historical,1973,11,4635,4635,CGCM3.1 (T47),High (A2),7.74759371,15.175639,11.46161636,284.6116164,,18.342253,0.91086438,26.8445967,0.6016271
historical,1973,12,4665,4665,CGCM3.1 (T47),High (A2),-1.896592,5.9787312,2.0410696,275.1910696,,18.2772917,0.89057635,26.8211365,0.57603282
historical,1974,1,4695,4695,CGCM3.1 (T47),High (A2),-0.4412329,7.159427717,3.359097409,276.5090974,,18.1170118,0.65379534,26.8608086,0.63848921
historical,1974,2,4725,4725,CGCM3.1 (T47),High (A2),-0.2931507,6.92553307,3.316191185,276.4661912,,18.0356857,0.71641393,26.7840231,0.70083499
historical,1974,3,4755,4755,CGCM3.1 (T47),High (A2),1.07597687,9.610514727,5.343245798,278.4932458,,18.0054407,0.65562299,26.7395759,0.66495939
historical,1974,4,4785,4785,CGCM3.1 (T47),High (A2),7.05666301,18.6703683,12.86351566,286.0135157,,18.0504533,0.6374524,26.6988489,0.66961092
historical,1974,5,4815,4815,CGCM3.1 (T47),High (A2),14.4967963,24.1730376,19.33491695,292.484917,,18.1017786,0.65607247,26.7593345,0.73994162
historical,1974,6,4845,4845,CGCM3.1 (T47),High (A2),19.1077303,27.0184333,23.0630818,296.2130818,,18.1008965,0.65501973,26.7423333,0.72111993
historical,1974,7,4875,4875,CGCM3.1 (T47),High (A2),22.7018789,29.6346195,26.1682492,299.3182492,,18.1826114,0.7336709,26.7222608,0.72042566
historical,1974,8,4905,4905,CGCM3.1 (T47),High (A2),23.2102423,29.043032,26.12663715,299.2766372,,18.1366759,0.729084,26.6632638,0.80260944
historical,1974,9,4935,4935,CGCM3.1 (T47),High (A2),17.1696934,25.7125688,21.4411311,294.5911311,,18.3001886,0.71384149,26.7567803,0.78915787
historical,1974,10,4965,4965,CGCM3.1 (T47),High (A2),11.2286409,21.5060838,16.36736235,289.5173624,,18.4336875,0.66823081,26.8355356,0.758772
historical,1974,11,4995,4995,CGCM3.1 (T47),High (A2),5.95593889,15.5903669,10.7731529,283.9231529,,18.5165141,0.61247476,26.9373817,0.79626781
historical,1974,12,5025,5025,CGCM3.1 (T47),High (A2),-0.7022105,8.89324117,4.095515335,277.2455153,,18.7525637,0.95023468,26.9291991,0.785456
historical,1975,1,5055,5055,CGCM3.1 (T47),High (A2),-0.3974312,7.017766915,3.310167857,276.4601679,,19.0369922,0.88867115,27.197376,0.89680052
historical,1975,2,5085,5085,CGCM3.1 (T47),High (A2),-1.6391064,6.49437069,2.427632145,275.5776321,,19.0788061,0.90303713,27.3218772,0.96215621
